id	label
-_wznbUu3DY	helicopter
0TQQn_S8ZDM	helicopter
0yQFLuXBbTo	helicopter
1eNvdYhkin4	helicopter
1jyrJSHYR-c	helicopter
1JZBJXb_jzM	helicopter
1LBBA76-TuQ	helicopter
1qbRpriB55k	helicopter
1T9jjPQxRHE	helicopter
2erACT9n-B4	helicopter
2ndwZG2uok0	helicopter
2nF2Lql0_Aw	helicopter
2t1liDKjf-g	helicopter
2vXlGSNtcn0	helicopter
3Jlf2R6FBRA	helicopter
3KkUbQHnExo	helicopter
-3tQW7Zhl9U	helicopter
3xeuotzBk9s	helicopter
3ZEHgq1o8PI	helicopter
4_KrEq3ucwI	helicopter
4MJKHVXNtzY	helicopter
4NLW2X3DuMU	helicopter
5GXbpFGSZ7I	helicopter
5o-s547x2e8	helicopter
5XrPzlRLnBI	helicopter
6BYlJtI3UVU	helicopter
6G5H81qDvW4	helicopter
6M_JfKJxNVA	helicopter
6U1UM2ehgr0	helicopter
6VQeiOghkdE	helicopter
7-f-6bBTI-0	helicopter
7-x-9e9iNj8	helicopter
7AYPK7U3evs	helicopter
7qXlcJBcBPw	helicopter
7WWMhbf1Ssc	helicopter
7Y_jJnov7M4	helicopter
8jhwmCV3WCA	helicopter
8Z7xA1HqkRg	helicopter
9LO4gcg49aU	helicopter
9mpnV8GpoKc	helicopter
9nsLTLNvOSw	helicopter
9Rqaxf1rSUA	helicopter
9WZgxE98Yyg	helicopter
19TjZrYIMWk	helicopter
66Sl9ixB_5U	helicopter
75PEVQt1cQQ	helicopter
75UL4bTnTRs	helicopter
81V5zO9ntWg	helicopter
86SnBJ00KWQ	helicopter
89JAEnHCRbY	helicopter
AcJXSEfGGcI	helicopter
AFaBECQSQjo	helicopter
AGoOj13x-Ds	helicopter
ApqTL3dFTdM	helicopter
AXEPdMUvXLo	helicopter
BDduRe11_wo	helicopter
BDYpXqMsg5k	helicopter
Bfjr2BD94RY	helicopter
Bgh_mgO2VZU	helicopter
BGkb9XuspoY	helicopter
BIAkLC-gy2Y	helicopter
BNrmXcZQ-p4	helicopter
BOB65Nd0pXo	helicopter
CgGGijaRZ30	helicopter
ChcnXv03Itg	helicopter
CLm9FYDRxsA	helicopter
CMx9nGyUVz0	helicopter
Cw-US2uaOKs	helicopter
DjGcre72pxw	helicopter
DP39sTllcPU	helicopter
DpRyPTj1A6M	helicopter
DQJwCqR08Tg	helicopter
DrvYM8g3HWk	helicopter
DxvGKv2L6-8	helicopter
DZPQHyoP8ts	helicopter
E509105txOk	helicopter
ECV8j0bhOlc	helicopter
EEBZz08i_vY	helicopter
Eo_FyQjui1k	helicopter
EyBwCTiXWdA	helicopter
EzE7FPYhzUI	helicopter
F0IYjZN8ojA	helicopter
F186zkBSFjE	helicopter
FjK-wypKLxw	helicopter
FXXBXAJa_RU	helicopter
G6SoJ8JPG5M	helicopter
GO_1gBjIR1c	helicopter
Godz5tRIaRU	helicopter
GSVRpO44F04	helicopter
H__6P-rZ3Lo	helicopter
-H1_pKntTx4	helicopter
HbA-Abyc6bU	helicopter
HdASUfcAR9A	helicopter
I8a6GwMJpuM	helicopter
IB2YDmEtKPo	helicopter
Ih0xy7tt2JY	helicopter
IJ9WJQ0dj3g	helicopter
IJI4VNsKSUg	helicopter
Ijm0-BtXDp0	helicopter
Ina9zrcoYPs	helicopter
IQ2bHS59KnI	helicopter
Isn4ltY2kPw	helicopter
IXghBspzZK0	helicopter
JC6VyIc02Kg	helicopter
Jet-YGASUw8	helicopter
JFe8k9aDPaI	helicopter
Jh2-zaDakrU	helicopter
JqGGlr_icXU	helicopter
JQQM0Rm_3E4	helicopter
KbViq9fsi8E	helicopter
KSgWEfplTHc	helicopter
Kvs8sm3Mcjg	helicopter
KxQwGUz5AqM	helicopter
KXumlH_SF5Y	helicopter
L4Hm7LpSFMk	helicopter
L6HB1czbGDY	helicopter
LExpQz32kLY	helicopter
LF4bs0MUoQg	helicopter
Lo7sGHpICOE	helicopter
LrOzd4OE6UU	helicopter
LVYetu5gk3I	helicopter
LWClbNmo37k	helicopter
Lxbx92eI3Xg	helicopter
LyHnIuHiRS4	helicopter
LyWChUrpN0I	helicopter
M6rdDnqW8EE	helicopter
Ma5OotVwCh0	helicopter
MC-nspGMkvw	helicopter
Md6vo7OfkYA	helicopter
MoZc4IsdhiU	helicopter
MpRXvVuNPOs	helicopter
MS1MKQj2L5o	helicopter
MxMLXp3Rgu4	helicopter
N-9HLIfELcc	helicopter
NmNgL4oXH9M	helicopter
NMo2M0rO8Ag	helicopter
Nr3-9zAyUZk	helicopter
NZkmKhCwFsI	helicopter
OAzPNdL-wQI	helicopter
P_8sR3jDZ9E	helicopter
PAbrvAkMQmU	helicopter
PGB_PyO2w0k	helicopter
PsDimxTs5GE	helicopter
Q8IpEy839Fc	helicopter
QbfoKNSoIeU	helicopter
QBrJ-biRPLg	helicopter
QKuTctSBJZs	helicopter
QZ-cG6VdBHM	helicopter
R_tuOJyoLMM	helicopter
RAyz-hi-X4o	helicopter
RmtNq8vaTQc	helicopter
RnMbQMjigdU	helicopter
RR1Z1-YVE_M	helicopter
RSVJviWsG6o	helicopter
RXOVFvbpXy4	helicopter
S3Fg5wYR-O8	helicopter
S4Z7y77VF4Y	helicopter
SBr5PlzuK3I	helicopter
SCXlT8zIqPw	helicopter
SMeEI7c4O0E	helicopter
SNPuQKAKLd4	helicopter
T2vVudo7fiM	helicopter
TAdH0kUJj9k	helicopter
TeZX4pAL4Qs	helicopter
TgAcM1sb42I	helicopter
TkdLSt0HzEQ	helicopter
Tv0RFx28oEY	helicopter
UadNGqzMAF0	helicopter
-ue3k_aV6mY	helicopter
UpXTTnAJndg	helicopter
UUddwWTuKJ0	helicopter
UuysHY0depg	helicopter
Uv3K_pEUlX8	helicopter
UY_AbLTIRtw	helicopter
V5ux3CuvY38	helicopter
VI6ytekigV0	helicopter
VN0FRmNf8R4	helicopter
VqNbTJu7DVI	helicopter
VqrXTEj05aM	helicopter
VREKcER5mas	helicopter
Vrh7qRAKzqs	helicopter
VSdjbjjM4k4	helicopter
-VTAtBy_jiI	helicopter
VtnXae2aO04	helicopter
VvlWf3Vvwss	helicopter
VW9Ba2cNLAI	helicopter
VWraCqnOvOA	helicopter
VzOkol5hD2Y	helicopter
W1713WwiTSA	helicopter
W9fNGlxl6PM	helicopter
W9g0Zl_b508	helicopter
wBnRLl7fTSE	helicopter
Wiq8fiFPDsM	helicopter
WIrnq6luD9c	helicopter
wliRjotVuBI	helicopter
WLq_Mk4p1Ns	helicopter
WoPbsn5wDfY	helicopter
-Wr1LEmgz9w	helicopter
Wr44Q8MQHL0	helicopter
wSdjlAkz1i8	helicopter
wuymegWdfmg	helicopter
WweIaYtzpj0	helicopter
WX-K2XkeoHc	helicopter
WXT0aIPTRXM	helicopter
-WyUAnVpexc	helicopter
-XIpY07w9rQ	helicopter
XuTOHx7N1L8	helicopter
XVlT_CKmqJA	helicopter
XYvootbcWYw	helicopter
Y3Z963TSuWY	helicopter
YvA90hZwJ9w	helicopter
z-FboWRVAoI	helicopter
z0O5uQ8lPCI	helicopter
z0wsT163MZ4	helicopter
z4HX8-du2nQ	helicopter
z8W2aL7W3pY	helicopter
ZtPoTqVxVvU	helicopter
_8acDzOQAg8	mynah_bird_singing
1lcEm0BPnlU	mynah_bird_singing
2M-fRggQBbE	mynah_bird_singing
3dZuwc9r2jw	mynah_bird_singing
3WlS8virKhk	mynah_bird_singing
4MztFzXuZAA	mynah_bird_singing
4QHb3x3tO6k	mynah_bird_singing
4RDab4Ufwu8	mynah_bird_singing
